ID,ProdID,Rating,Name,Brand,ImageURL,ProductRating,ReviewCount,Tags
1,19,1.6,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...",OnePlus,/kaggle/working/images/104.jpg,3,132,"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs... OnePlus"
1,33,3.6,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones",SanDisk,/kaggle/working/images/1054.jpg,2,2557,"SanDisk Ultra® microSDXC™ UHS-I Card, 64GB, 140MB/s R, 10 Y Warranty, for Smartphones SanDisk"
1,154,1.7,"Syvo WT 3130 Aluminum Tripod (50 Inches), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All ...",Syvo,/kaggle/working/images/1277.jpg,1,2937,"Syvo WT 3130 Aluminum Tripod (50 Inches), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All ... Syvo"
1,1233,4.9,"Hammer Pulse Ace Pro Bluetooth Calling Smartwatch with SpO2 & 1.81” Aluminium Alloy Body with Blood Oxygen Monitoring, Hea...",Hammer,/kaggle/working/images/3313.jpg,4,1623,"Hammer Pulse Ace Pro Bluetooth Calling Smartwatch with SpO2 & 1.81” Aluminium Alloy Body with Blood Oxygen Monitoring, Hea... Hammer"
1,1367,2.0,"Fire-Boltt Ninja 3 1.83"" Display Smartwatch Full Touch with 100+ Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Bas...",Fire-Boltt,/kaggle/working/images/3572.jpg,3,3667,"Fire-Boltt Ninja 3 1.83"" Display Smartwatch Full Touch with 100+ Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud Bas... Fire-Boltt"
1,2339,1.5,"Nokia 3310 Dual SIM Feature Phone with MP3 Player, Wireless FM Radio and Rear Camera, Dark Blue",Nokia,/kaggle/working/images/89.jpg,4,2096,"Nokia 3310 Dual SIM Feature Phone with MP3 Player, Wireless FM Radio and Rear Camera, Dark Blue Nokia"
1,1798,4.2,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),OnePlus,/kaggle/working/images/4211.jpg,5,1829,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black) OnePlus
1,907,1.5,"Digitek Wireless Microphone System for DSLR, Camcorder, Smartphone & Tablet DWM 101",Digitek,/kaggle/working/images/2517.jpg,1,756,"Digitek Wireless Microphone System for DSLR, Camcorder, Smartphone & Tablet DWM 101 Digitek"
1,2223,1.5,"Boult Audio Bassbuds Loop 2 Wired in Ear Earphones with Mic, 10mm Powerful Driver for Extra Bass with Customizable Ear Loo...",Boult,/kaggle/working/images/688.jpg,2,2675,"Boult Audio Bassbuds Loop 2 Wired in Ear Earphones with Mic, 10mm Powerful Driver for Extra Bass with Customizable Ear Loo... Boult"
1,237,3.9,"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Black",Samsung,/kaggle/working/images/1437.jpg,3,757,"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Black Samsung"
